TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
3/31/26, 3:32:13 PM PDT,0,0.0,Status,"Evaluating PatchWorks_Init"
3/31/26, 3:32:14 PM PDT,0,0.0,Status,"PatchWorks_Init completed"
3/31/26, 3:34:26 PM PDT,0,299583.6202,Target values changed,"Changes started at 3/31/26, 3:33:08 PM PDT"
3/31/26, 3:34:26 PM PDT,0,299583.6202,Scheduling,
3/31/26, 3:35:01 PM PDT,200000,19.478900000000003,Scheduling,
3/31/26, 3:35:11 PM PDT,255000,19.478900000000003,Target values changed,"Changes started at 3/31/26, 3:35:07 PM PDT"
3/31/26, 3:35:11 PM PDT,255000,19.478900000000003,Status,"Objective value changed direction: previous=0.0 current=19.478900000000003"
3/31/26, 3:35:37 PM PDT,400000,19.478900000000003,Target values changed,"Changes started at 3/31/26, 3:35:22 PM PDT"
3/31/26, 3:35:37 PM PDT,400000,19.478900000000003,Scheduling,
3/31/26, 3:36:17 PM PDT,600000,19.478900000000003,Scheduling,
3/31/26, 3:37:07 PM PDT,800000,19.478900000000003,Scheduling,
3/31/26, 3:37:43 PM PDT,1000000,19.478900000000003,Scheduling,
3/31/26, 3:37:49 PM PDT,1030470,19.478900000000003,Warning,"java.lang.Exception: Report targets/_CampTotal_HarvestVolume.csv not known in report writer"
3/31/26, 3:38:03 PM PDT,1068826,19.478900000000003,Warning,"java.lang.Exception: Report targets/_CampTotal_HarvestVolume.csv not known in report writer"
3/31/26, 3:38:28 PM PDT,1200000,19.478900000000003,Scheduling,
3/31/26, 3:39:16 PM PDT,1400000,19.478900000000003,Scheduling,
3/31/26, 3:40:07 PM PDT,1600000,19.478900000000003,Scheduling,
3/31/26, 3:40:59 PM PDT,1800000,19.478900000000003,Scheduling,
3/31/26, 3:42:03 PM PDT,2000000,19.478900000000003,Scheduling,
3/31/26, 3:42:54 PM PDT,2200000,19.478900000000003,Scheduling,
3/31/26, 3:43:40 PM PDT,2400000,19.478900000000003,Scheduling,
3/31/26, 3:44:19 PM PDT,2600000,19.478900000000003,Scheduling,
3/31/26, 3:44:56 PM PDT,2800000,19.478900000000003,Scheduling,
3/31/26, 3:45:12 PM PDT,2886520,19.478900000000003,Save scenario,"Save stage Scenarios (Wreckers) to C:\Users\eheimler.stu\Documents\Wreckers\Wreckers\models\k3z_patchworks_model\Scenarios (Wreckers)"
