TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.Seral.CWHvm_DR_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_FDC_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_BA_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_H.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_L.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_HW_CW_M.regenerating,31,false,false,false,1.0,false,false
