BLOCK,DELTA,AGE,TYPE,TREATMENT
163,184,130,MANAGED,CC
163,300,116,MANAGED,CC
166,128,175,MANAGED,CC
166,300,172,MANAGED,CC
167,12,69,MANAGED,CC
167,82,70,MANAGED,CC
167,154,72,MANAGED,CC
167,226,72,MANAGED,CC
167,290,64,MANAGED,CC
168,11,118,MANAGED,CC
168,100,89,MANAGED,CC
168,181,81,MANAGED,CC
168,260,79,MANAGED,CC
169,31,88,MANAGED,CC
169,120,89,MANAGED,CC
169,210,90,MANAGED,CC
169,290,80,MANAGED,CC
170,11,114,MANAGED,CC
170,91,80,MANAGED,CC
170,170,79,MANAGED,CC
170,250,80,MANAGED,CC
171,1,308,MANAGED,CC
171,151,150,MANAGED,CC
171,300,149,MANAGED,CC
173,31,208,MANAGED,CC
173,144,113,MANAGED,CC
173,260,116,MANAGED,CC
175,21,78,MANAGED,CC
175,90,69,MANAGED,CC
175,160,70,MANAGED,CC
175,231,71,MANAGED,CC
175,300,69,MANAGED,CC
176,41,168,MANAGED,CC
176,147,106,MANAGED,CC
176,250,103,MANAGED,CC
177,1,128,MANAGED,CC
177,94,93,MANAGED,CC
177,186,92,MANAGED,CC
177,280,94,MANAGED,CC
178,50,107,MANAGED,CC
178,156,106,MANAGED,CC
178,257,101,MANAGED,CC
180,41,88,MANAGED,CC
180,129,88,MANAGED,CC
180,215,86,MANAGED,CC
180,300,85,MANAGED,CC
184,22,79,MANAGED,CC
184,100,78,MANAGED,CC
184,180,80,MANAGED,CC
184,270,90,MANAGED,CC
185,130,167,MANAGED,CC
185,300,170,MANAGED,CC
187,15,92,MANAGED,CC
187,107,92,MANAGED,CC
187,200,93,MANAGED,CC
187,290,90,MANAGED,CC
190,41,88,MANAGED,CC
190,130,89,MANAGED,CC
190,218,88,MANAGED,CC
190,300,82,MANAGED,CC
192,51,108,MANAGED,CC
192,141,90,MANAGED,CC
192,230,89,MANAGED,CC
196,23,90,MANAGED,CC
196,105,82,MANAGED,CC
196,188,83,MANAGED,CC
196,270,82,MANAGED,CC
200,31,268,MANAGED,CC
200,166,135,MANAGED,CC
200,300,134,MANAGED,CC
202,21,78,MANAGED,CC
202,84,63,MANAGED,CC
202,150,66,MANAGED,CC
202,210,60,MANAGED,CC
202,270,60,MANAGED,CC
203,14,91,MANAGED,CC
203,105,91,MANAGED,CC
203,200,95,MANAGED,CC
203,300,100,MANAGED,CC
204,54,111,MANAGED,CC
204,184,130,MANAGED,CC
204,300,116,MANAGED,CC
205,23,130,MANAGED,CC
205,160,137,MANAGED,CC
205,290,130,MANAGED,CC
206,1,108,MANAGED,CC
206,83,82,MANAGED,CC
206,167,84,MANAGED,CC
206,250,83,MANAGED,CC
207,41,98,MANAGED,CC
207,132,91,MANAGED,CC
207,230,98,MANAGED,CC
208,36,83,MANAGED,CC
208,117,81,MANAGED,CC
208,200,83,MANAGED,CC
208,280,80,MANAGED,CC
209,1,308,MANAGED,CC
209,141,140,MANAGED,CC
209,280,139,MANAGED,CC
211,1,128,MANAGED,CC
211,100,99,MANAGED,CC
211,190,90,MANAGED,CC
211,280,90,MANAGED,CC
213,19,76,MANAGED,CC
213,99,80,MANAGED,CC
213,180,81,MANAGED,CC
213,270,90,MANAGED,CC
216,1,108,MANAGED,CC
216,99,98,MANAGED,CC
216,198,99,MANAGED,CC
216,290,92,MANAGED,CC
217,93,150,MANAGED,CC
217,250,157,MANAGED,CC
