CURVE,X,Y
3,20,10.4
3,30,15.7
3,70,36.5
3,80,41.8
3,120,62.6
3,130,67.9
3,170,88.7
3,180,94
3,220,114.8
3,230,120.1
3,270,140.9
3,280,146.2
3,290,151.4
3,299,156.1
958,0,200
2113,0,275
1421,0,275
859,0,250
1970,0,349
632,0,300
22,0,1
30,0,1
30,5,1
30,6,0
2352,0,474.5
1646,0,449.5
1265,0,474.5
1164,0,449.5
1872,0,500
446,0,500
309,0,350
2598,0,650
2451,0,650
127,0,524.5
231,9,0
232,9,0
232,10,1
232,11,0
1188,79,0
1740,79,0
1740,80,0.00102
1745,79,0
1745,80,0.00153
1635,79,0
1635,80,0.00195
1632,79,0
1632,80,0.00214
1542,79,0
1542,80,0.002
1636,79,0
1636,80,0.00234
2590,79,0
2590,80,0.00909
1637,79,0
1637,80,0.00974
1630,79,0
1630,80,0.00955
1543,79,0
1543,80,0.0024
1539,79,0
1539,80,0.0022
2514,79,0
2514,80,0.0125
1544,79,0
1544,80,0.01
1537,79,0
1537,80,0.0098
1261,79,0
1261,80,0.0015
1742,79,0
1742,80,0.01643
1741,79,0
1741,80,0.02602
2592,79,0
2592,80,0.04546
2593,79,0
2593,80,0.07273
2515,79,0
2515,80,0.0625
2225,79,0
2225,80,0.08889
2167,79,0
2167,80,0.05
1633,79,0
1633,80,0.09743
1540,79,0
1540,80,0.036
1259,79,0
1259,80,0.09799
1258,79,0
1258,80,0.0161
1256,79,0
1256,80,0.001
2223,79,0
2223,80,0.11111
2591,79,0
2591,80,0.14546
2224,79,0
2224,80,0.17778
2166,79,0
2166,80,0.125
1631,79,0
1631,80,0.19486
1257,79,0
1257,80,0.19598
2595,79,0
2595,80,0.21818
1724,79,0
1724,80,0.3
1724,140,0.3
1724,150,0.2
1724,200,0.2
1724,210,0.1
1724,220,0.2
1724,270,0.2
1724,280,0.1
1743,79,0
1743,80,0.37532
1538,79,0
1538,80,0.3656
2517,79,0
2517,80,0.3
1625,79,0
1625,80,0.3
1625,90,0.2
1625,100,0.2
1625,110,0.1
1625,130,0.3
1625,180,0.3
1625,190,0.2
1625,200,0.3
1625,210,0.3
1625,220,0.1
1625,230,0.3
1625,270,0.3
1625,280,0.2
1625,290,0.3
1625,300,0.3
1625,310,0.2
1625,320,0.3
1625,330,0.2
1625,350,0.4
2501,79,0
2501,80,0.3
2501,90,0.2
2501,150,0.2
2501,160,0.1
2501,300,0.1
2501,310,0
2501,320,0.1
2501,330,0
2501,340,0.1
1622,79,0
1622,80,0.3
1622,90,0.2
1622,100,0.3
1622,120,0.3
1622,130,0.2
1622,140,0.3
1622,150,0.2
1622,160,0
1622,170,0.2
1622,180,0.2
1622,190,0
1622,210,0
1622,220,0.2
1622,240,0
1567,79,0
1567,80,0.3
1567,90,0.6
1567,100,0.7
1567,110,1.1
1567,130,2.5
1567,150,3.5
1567,170,4.1
1567,180,4.2
1567,190,4.6
1567,200,4.7
1567,210,5
1567,220,5.1
1567,230,5.1
1567,240,5.4
1567,250,5.6
1567,260,5.7
1567,270,5.6
1567,280,5.7
1567,290,5.7
1567,300,5.9
1567,310,5.9
1567,330,6.1
1567,340,6
1567,350,6.1
2161,79,0
2161,80,0.3
2161,100,0.3
2161,110,0.4
2161,120,0.3
2161,140,0.3
2161,150,0.4
2161,160,0.3
2161,200,0.3
2161,210,0.4
2161,220,0.2
2161,230,0.3
2161,270,0.3
2161,280,0.2
2161,290,0.3
2161,300,0.2
2161,310,0.4
2161,320,0.2
2161,330,0.2
2161,350,0.4
1488,79,0
1488,80,0.3
1488,100,0.3
1488,110,0.4
1488,130,0.2
1488,140,0.2
1488,150,0.1
1488,160,0.3
1488,170,0.2
1488,180,0.4
1488,200,0.2
1488,210,0.3
1488,220,0.3
1488,230,0.2
1488,270,0.2
1488,280,0.4
1488,290,0.3
1488,320,0.3
1488,330,0.2
1488,340,0.3
1247,79,0
1247,80,0.3
1247,90,0.3
1247,100,0.2
1247,110,0.3
1247,140,0.3
1247,150,0.4
1247,160,0.3
1247,220,0.3
1247,230,0.2
1247,240,0.3
1247,250,0.2
1247,260,0.3
1247,290,0.3
1247,300,0.2
1247,310,0.3
1247,340,0.3
1247,350,0.2
1583,79,0
1583,80,0.3
1583,140,0.3
1583,150,0.2
1583,250,0.2
1583,260,0.1
1481,79,0
1481,80,0.3
1481,140,0.3
1481,150,0.2
1481,260,0.2
1481,270,0.1
1239,79,0
1239,80,0.3
1239,110,0.3
1239,120,0.2
1239,130,0.3
1239,140,0.3
1239,150,0.2
1239,270,0.2
1239,280,0.1
1723,79,0
1723,80,0.5
1723,110,0.5
1723,120,0.4
1723,160,0.4
1723,170,0.3
1723,260,0.3
1723,270,0.2
1676,79,0
1676,80,0.5
1676,90,0.8
1676,110,1.6
1676,120,2.1
1676,130,3.3
1676,150,5.3
1676,160,6.1
1676,170,6.8
1676,210,8.4
1676,230,9
1676,240,9.2
1676,250,9.5
1676,280,10.1
1676,290,10.2
1676,300,10.4
1676,340,10.8
2220,79,0
2220,80,0.4
2220,90,0.4
2220,100,0.5
2220,110,0.4
2220,120,0.5
2220,130,0.5
2220,140,0.4
2220,150,0.4
2220,160,0.5
2220,170,0.5
2220,180,0.4
2220,190,0.5
2220,200,0.5
2220,210,0.4
2220,220,0.5
2220,230,0.3
2220,250,0.5
2220,260,0.5
2220,270,0.4
2220,280,0.4
2220,290,0.6
2220,300,0.4
2220,310,0.4
2220,320,0.5
2220,330,0.4
2220,340,0.5
1690,79,0
1690,80,0.4
1690,90,0.5
1690,130,0.5
1690,140,0.4
1690,180,0.4
1690,190,0.3
1690,280,0.3
1690,290,0.2
2554,79,0
2554,80,0.4
2554,100,0.4
2554,110,0.3
2554,120,0.3
2554,130,0.2
2554,240,0.2
2554,250,0.1
1561,79,0
1561,80,0.4
1561,100,0.8
1561,110,1.1
1561,130,2.5
1561,150,3.5
1561,170,4.1
1561,220,5.1
1561,280,5.7
1561,290,5.7
1561,300,5.8
1561,310,5.8
1561,320,5.9
1561,330,5.9
1561,340,6
1454,79,0
1454,80,0.4
1454,100,0.8
1454,110,1.1
1454,130,2.5
1454,140,3.1
1454,150,3.6
1454,170,4.2
1454,220,5.2
1454,240,5.4
1454,250,5.6
1454,260,5.7
1454,270,5.7
1454,290,5.9
1454,300,5.9
1454,310,6
1454,320,6
1454,330,6.1
1205,79,0
1205,80,0.4
1205,90,0.5
1205,100,0.5
1205,110,0.4
1205,120,0.5
1205,130,0.5
1205,140,0.4
1205,180,0.4
1205,190,0.3
1205,280,0.3
1205,290,0.2
1680,79,0
1680,80,0.2
1680,90,0
1680,100,0.1
1680,110,0.1
1680,120,0.2
1680,130,0.2
1680,140,0.4
1680,170,0.7
1680,210,0.7
1680,220,0.8
1680,250,0.8
1680,260,1
1680,270,1
1680,280,0.8
1680,290,1
1680,300,0.9
1680,310,0.9
1680,320,1
1680,330,1
1680,350,1.2
2586,79,0
2586,80,0.2
2586,90,0.2
2586,100,0.1
2586,110,0.3
2586,120,0.2
2586,130,0.3
2586,140,0.2
2586,150,0.2
2586,160,0.1
2586,170,0.1
2586,180,0.2
2586,190,0.1
2586,200,0.2
2586,210,0.2
2586,220,0.1
2586,240,0.1
2586,250,0.2
2586,260,0.1
2586,270,0.2
2586,300,0.2
2586,310,0.1
2586,320,0.1
2586,330,0.2
2586,340,0.1
1618,79,0
1618,80,0.2
1618,90,0.2
1618,100,0.1
1618,210,0.1
1618,220,0
1618,230,0.1
2587,79,0
2587,80,0.2
2587,90,0.2
2587,100,0.4
2587,110,0.2
2587,120,0.3
2587,130,0.2
2587,140,0.3
2587,150,0.2
2587,160,0.4
2587,170,0.3
2587,180,0.3
2587,190,0.2
2587,200,0.4
2587,210,0.3
2587,230,0.3
2587,240,0.2
2587,250,0.3
2587,260,0.2
2587,310,0.2
2587,320,0.3
2587,340,0.3
2587,350,0.2
2221,79,0
2221,80,0.2
2221,90,0.2
2221,100,0.3
2221,110,0.3
2221,120,0.1
2221,130,0.3
2221,140,0.2
2221,150,0.3
2221,160,0.2
2221,200,0.2
2221,210,0.3
2221,220,0.2
2221,320,0.2
2221,330,0.4
2221,350,0.2
1588,79,0
1588,80,0.2
1588,90,0.2
1588,100,0.3
1588,140,0.3
1588,150,0.2
1588,160,0.3
1588,170,0.2
1588,180,0.3
1588,210,0.3
1588,220,0.2
1588,230,0.3
1588,240,0.2
1588,250,0.2
1588,260,0.4
1588,270,0.3
1588,310,0.3
1588,320,0.2
1588,330,0
1588,340,0.3
2219,79,0
2219,80,0.2
2219,90,0.4
2219,100,0.2
2219,110,0.3
2219,120,0.3
2219,130,0.2
2219,140,0.3
2219,150,0.3
2219,160,0.2
2219,170,0.3
2219,180,0.2
2219,190,0.3
2219,200,0.3
2219,210,0.2
2219,220,0.3
2219,230,0.3
2219,240,0.2
2219,260,0.2
2219,270,0.3
2219,280,0.2
2219,290,0.3
2219,310,0.3
2219,320,0.2
2219,330,0.2
2219,340,0.3
1573,79,0
1573,80,0.2
1573,90,0.4
1573,110,0.6
1573,120,0.5
1573,140,0.5
1573,150,0.4
1573,180,0.4
1573,190,0.3
1573,250,0.3
1573,260,0.2
1469,79,0
1469,80,0.2
1469,90,0.4
1469,110,0.6
1469,120,0.6
1469,130,0.5
1469,140,0.5
1469,150,0.4
1469,180,0.4
1469,190,0.3
1469,250,0.3
1469,260,0.2
1523,79,0
1523,80,0.2
1523,110,0.2
1523,120,0.3
1523,130,0.2
1523,170,0.2
1523,180,0
1523,190,0
1523,200,0.2
1523,210,0.2
1523,220,0
1523,230,0
1523,240,0.2
1523,250,0
1523,260,0.1
1523,270,0
1523,320,0
1523,330,0.3
1523,340,0
2507,79,0
2507,80,0.2
2507,100,0.2
2507,110,0.3
2507,130,0.1
2507,150,0.3
2507,170,0.1
2507,180,0.3
2507,190,0.1
2507,200,0.2
2507,210,0.2
2507,220,0.3
2507,230,0.2
2507,250,0.2
2507,260,0.3
2507,280,0.1
2507,290,0.2
2507,310,0.2
2507,320,0.3
2507,330,0.2
2507,340,0.2
2507,350,0.1
1519,79,0
1519,80,0.2
1519,100,0.2
1519,110,0.1
1519,210,0.1
1519,220,0
1519,230,0.1
1519,240,0.1
1519,250,0
1519,260,0
1519,270,0.1
1519,320,0.1
1519,330,0
1519,340,0.1
1572,79,0
1572,80,0.2
1572,110,0.5
1572,120,0.5
1572,130,0.4
1572,140,0.4
1572,150,0.3
1572,200,0.3
1572,210,0.2
1468,79,0
1468,80,0.2
1468,110,0.5
1468,130,0.5
1468,140,0.4
1468,150,0.4
1468,160,0.3
1468,210,0.3
1468,220,0.2
1465,79,0
1465,80,0.2
1465,110,0.5
1465,130,0.5
1465,140,0.4
1465,160,0.4
1465,170,0.3
1465,230,0.3
1465,240,0.2
1461,79,0
1461,80,0.2
1461,90,0.7
1461,110,1.1
1461,120,1.9
1461,130,2.6
1461,150,3.6
1461,190,4.8
1461,200,4.9
1461,210,5.2
1461,220,5.2
1461,240,5.6
1461,250,5.7
1461,260,5.6
1461,270,5.8
1461,310,6.2
1461,320,6.1
1461,340,6.1
1461,350,6.2
1203,79,0
1203,80,0.2
1203,90,0.3
1203,100,0.2
1203,110,0.4
1203,130,0.4
1203,140,0.3
1203,150,0.4
1203,170,0.2
1203,180,0.3
1203,190,0.2
1203,210,0.2
1203,220,0.3
1203,240,0.3
1203,250,0.1
1203,260,0.2
1203,290,0.2
1203,300,0.3
1203,310,0.1
1203,330,0.1
1203,340,0
1203,350,0.1
2162,79,0
2162,80,0.1
2162,90,0.2
2162,100,0.1
2162,110,0.2
2162,120,0.1
2162,130,0.1
