Name,Title,Class,Source,Extensions
objective,Active target objective summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
shortage,Active target shortage summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
feature_Height_unmanaged_CWHvm_HW_CW_L,Targets for feature.Height.unmanaged.CWHvm_HW_CW_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Height_unmanaged_CWHvm_HW_CW_M,Targets for feature.Height.unmanaged.CWHvm_HW_CW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Height_unmanaged_CWHvm_HW_FDC_H,Targets for feature.Height.unmanaged.CWHvm_HW_FDC_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Height_unmanaged_CWHvm_HW_FDC_L,Targets for feature.Height.unmanaged.CWHvm_HW_FDC_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Height_unmanaged_CWHvm_HW_SS_M,Targets for feature.Height.unmanaged.CWHvm_HW_SS_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_CW_HW_M,Targets for feature.QMD.managed.CWHvm_CW_HW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_DR_HW_M,Targets for feature.QMD.managed.CWHvm_DR_HW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_FDC_HW_H,Targets for feature.QMD.managed.CWHvm_FDC_HW_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_FDC_HW_L,Targets for feature.QMD.managed.CWHvm_FDC_HW_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_FDC_HW_M,Targets for feature.QMD.managed.CWHvm_FDC_HW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_HW_BA_M,Targets for feature.QMD.managed.CWHvm_HW_BA_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_HW_CW_H,Targets for feature.QMD.managed.CWHvm_HW_CW_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_HW_CW_L,Targets for feature.QMD.managed.CWHvm_HW_CW_L,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_HW_CW_M,Targets for feature.QMD.managed.CWHvm_HW_CW_M,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_QMD_managed_CWHvm_HW_FDC_H,Targets for feature.QMD.managed.CWHvm_HW_FDC_H,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
