CURVE,X,Y
1548,300,5.8
1548,310,5.8
1548,320,5.9
1548,330,5.9
1548,340,6
1441,79,0
1441,80,0.4
1441,100,0.8
1441,110,1.1
1441,130,2.5
1441,140,3.1
1441,150,3.6
1441,170,4.2
1441,220,5.2
1441,240,5.4
1441,250,5.6
1441,260,5.7
1441,270,5.7
1441,290,5.9
1441,300,5.9
1441,310,6
1441,320,6
1441,330,6.1
1192,79,0
1192,80,0.4
1192,90,0.5
1192,100,0.5
1192,110,0.4
1192,120,0.5
1192,130,0.5
1192,140,0.4
1192,180,0.4
1192,190,0.3
1192,280,0.3
1192,290,0.2
1667,79,0
1667,80,0.2
1667,90,0
1667,100,0.1
1667,110,0.1
1667,120,0.2
1667,130,0.2
1667,140,0.4
1667,170,0.7
1667,210,0.7
1667,220,0.8
1667,250,0.8
1667,260,1
1667,270,1
1667,280,0.8
1667,290,1
1667,300,0.9
1667,310,0.9
1667,320,1
1667,330,1
1667,350,1.2
2573,79,0
2573,80,0.2
2573,90,0.2
2573,100,0.1
2573,110,0.3
2573,120,0.2
2573,130,0.3
2573,140,0.2
2573,150,0.2
2573,160,0.1
2573,170,0.1
2573,180,0.2
2573,190,0.1
2573,200,0.2
2573,210,0.2
2573,220,0.1
2573,240,0.1
2573,250,0.2
2573,260,0.1
2573,270,0.2
2573,300,0.2
2573,310,0.1
2573,320,0.1
2573,330,0.2
2573,340,0.1
1605,79,0
1605,80,0.2
1605,90,0.2
1605,100,0.1
1605,210,0.1
1605,220,0
1605,230,0.1
2574,79,0
2574,80,0.2
2574,90,0.2
2574,100,0.4
2574,110,0.2
2574,120,0.3
2574,130,0.2
2574,140,0.3
2574,150,0.2
2574,160,0.4
2574,170,0.3
2574,180,0.3
2574,190,0.2
2574,200,0.4
2574,210,0.3
2574,230,0.3
2574,240,0.2
2574,250,0.3
2574,260,0.2
2574,310,0.2
2574,320,0.3
2574,340,0.3
2574,350,0.2
2208,79,0
2208,80,0.2
2208,90,0.2
2208,100,0.3
2208,110,0.3
2208,120,0.1
2208,130,0.3
2208,140,0.2
2208,150,0.3
2208,160,0.2
2208,200,0.2
2208,210,0.3
2208,220,0.2
2208,320,0.2
2208,330,0.4
2208,350,0.2
1575,79,0
1575,80,0.2
1575,90,0.2
1575,100,0.3
1575,140,0.3
1575,150,0.2
1575,160,0.3
1575,170,0.2
1575,180,0.3
1575,210,0.3
1575,220,0.2
1575,230,0.3
1575,240,0.2
1575,250,0.2
1575,260,0.4
1575,270,0.3
1575,310,0.3
1575,320,0.2
1575,330,0
1575,340,0.3
2206,79,0
2206,80,0.2
2206,90,0.4
2206,100,0.2
2206,110,0.3
2206,120,0.3
2206,130,0.2
2206,140,0.3
2206,150,0.3
2206,160,0.2
2206,170,0.3
2206,180,0.2
2206,190,0.3
2206,200,0.3
2206,210,0.2
2206,220,0.3
2206,230,0.3
2206,240,0.2
2206,260,0.2
2206,270,0.3
2206,280,0.2
2206,290,0.3
2206,310,0.3
2206,320,0.2
2206,330,0.2
2206,340,0.3
1560,79,0
1560,80,0.2
1560,90,0.4
1560,110,0.6
1560,120,0.5
1560,140,0.5
1560,150,0.4
1560,180,0.4
1560,190,0.3
1560,250,0.3
1560,260,0.2
1456,79,0
1456,80,0.2
1456,90,0.4
1456,110,0.6
1456,120,0.6
1456,130,0.5
1456,140,0.5
1456,150,0.4
1456,180,0.4
1456,190,0.3
1456,250,0.3
1456,260,0.2
1510,79,0
1510,80,0.2
1510,110,0.2
1510,120,0.3
1510,130,0.2
1510,170,0.2
1510,180,0
1510,190,0
1510,200,0.2
1510,210,0.2
1510,220,0
1510,230,0
1510,240,0.2
1510,250,0
1510,260,0.1
1510,270,0
1510,320,0
1510,330,0.3
1510,340,0
2494,79,0
2494,80,0.2
2494,100,0.2
2494,110,0.3
2494,130,0.1
2494,150,0.3
2494,170,0.1
2494,180,0.3
2494,190,0.1
2494,200,0.2
2494,210,0.2
2494,220,0.3
2494,230,0.2
2494,250,0.2
2494,260,0.3
2494,280,0.1
2494,290,0.2
2494,310,0.2
2494,320,0.3
2494,330,0.2
2494,340,0.2
2494,350,0.1
1506,79,0
1506,80,0.2
1506,100,0.2
1506,110,0.1
1506,210,0.1
1506,220,0
1506,230,0.1
1506,240,0.1
1506,250,0
1506,260,0
1506,270,0.1
1506,320,0.1
1506,330,0
1506,340,0.1
1559,79,0
1559,80,0.2
1559,110,0.5
1559,120,0.5
1559,130,0.4
1559,140,0.4
1559,150,0.3
1559,200,0.3
1559,210,0.2
1455,79,0
1455,80,0.2
1455,110,0.5
1455,130,0.5
1455,140,0.4
1455,150,0.4
1455,160,0.3
1455,210,0.3
1455,220,0.2
1452,79,0
1452,80,0.2
1452,110,0.5
1452,130,0.5
1452,140,0.4
1452,160,0.4
1452,170,0.3
1452,230,0.3
1452,240,0.2
1448,79,0
1448,80,0.2
1448,90,0.7
1448,110,1.1
1448,120,1.9
1448,130,2.6
1448,150,3.6
1448,190,4.8
1448,200,4.9
1448,210,5.2
1448,220,5.2
1448,240,5.6
1448,250,5.7
1448,260,5.6
1448,270,5.8
1448,310,6.2
1448,320,6.1
1448,340,6.1
1448,350,6.2
1190,79,0
1190,80,0.2
1190,90,0.3
1190,100,0.2
1190,110,0.4
1190,130,0.4
1190,140,0.3
1190,150,0.4
1190,170,0.2
1190,180,0.3
1190,190,0.2
1190,210,0.2
1190,220,0.3
1190,240,0.3
1190,250,0.1
1190,260,0.2
1190,290,0.2
1190,300,0.3
1190,310,0.1
1190,330,0.1
1190,340,0
1190,350,0.1
2149,79,0
2149,80,0.1
2149,90,0.2
2149,100,0.1
2149,110,0.2
2149,120,0.1
2149,130,0.1
2149,140,0.2
2149,150,0.1
2149,160,0.2
2149,170,0.2
2149,180,0.1
2149,190,0.1
2149,200,0.2
2149,210,0.1
2149,220,0.1
2149,230,0.2
2149,240,0.1
2149,280,0.1
2149,290,0.2
2149,300,0.1
2149,330,0.1
2149,340,0.2
2149,350,0.1
1675,79,0
1675,80,0.1
1675,90,0.3
1675,100,0.4
1675,120,0.4
1675,130,0.5
1675,140,0.3
1675,180,0.3
1675,190,0.2
1675,200,0.2
1675,220,0.4
1675,230,0.3
1675,250,0.3
1675,260,0.2
1675,270,0.3
1675,290,0.1
1675,300,0.1
1675,310,0.2
1675,320,0.2
1675,330,0.1
1473,79,0
1473,80,0.1
1473,110,0.1
1473,120,0
1473,130,0.1
1473,150,0.1
1473,160,0
1717,79,0
1717,80,0.1
1717,100,0.1
1717,110,0
1717,140,0
1717,150,0.1
1717,190,0.1
1717,200,0
1717,230,0
1717,240,0.1
1717,250,0
1717,280,0
1717,290,0.1
1717,300,0
1717,310,0
1717,320,0.1
1717,330,0.1
1717,340,0
1717,350,0.1
1689,79,0
1689,80,0.1
1689,100,0.1
1689,110,0
1689,120,0.1
1689,140,0.1
1689,150,0
1474,79,0
1474,80,0.1
1474,100,0.1
1474,110,0
1474,120,0.1
1474,130,0.1
1474,140,0
1474,150,0.1
1474,170,0.1
1474,180,0
1204,79,0
1204,80,0.1
1204,100,0.1
1204,110,0
1204,120,0.1
1204,130,0
2565,79,0
2565,80,0.1
2565,200,0.1
2565,210,0
2565,220,0.1
2565,230,0
2565,240,0.1
1716,79,0
1716,80,0.1
1716,130,0.1
1716,140,0
1716,170,0
1716,180,0.1
1716,200,0.1
1716,210,0
1716,220,0.1
1716,230,0
1716,240,0.1
1716,250,0
1716,260,0
1716,270,0.2
1716,290,0
1716,300,0
1716,310,0.2
1716,320,0.2
1716,330,0.1
1716,340,0.1
1716,350,0.2
1470,79,0
1470,80,0.1
1470,120,0.1
1470,130,0
1470,140,0.1
1470,150,0.1
1470,160,0
1674,79,0
1674,80,0.1
1674,110,0.4
1674,150,0.4
1674,160,0.3
1674,200,0.3
1674,210,0.2
1189,79,0
1189,80,0.1
1189,110,0.4
1189,140,0.4
1189,150,0.3
1189,190,0.3
1189,200,0.2
1574,79,0
1574,80,0.1
1574,90,0.1
1574,100,0
1574,110,0.1
1574,120,0
1574,130,0.1
1574,140,0.1
1574,150,0
1233,79,0
1233,80,0.1
1233,90,0.1
1233,100,0
1233,140,0
1233,150,0.1
1233,180,0.1
1233,190,0
1233,200,0
1233,210,0.1
1233,230,0.1
1233,240,0
1233,270,0
1233,280,0.1
1233,320,0.1
1233,330,0
1447,79,0
1447,80,0.1
1447,90,0.1
1447,120,0.4
1447,140,0.8
1447,150,0.9
1447,160,0.9
1447,180,1.1
1447,190,1.1
1447,200,1.2
1447,210,1.2
1447,220,1.3
1447,250,1.3
1447,260,1.4
1447,310,1.4
1447,320,1.5
1443,79,0
1443,80,0.1
1443,90,0.1
1443,120,0.4
1443,130,0.6
1443,160,0.9
1443,170,0.9
1443,180,1
1443,190,1
1443,200,1.1
1443,220,1.1
1443,230,1.2
1443,260,1.2
1443,270,1.3
1669,79,0
1669,80,0.1
1669,90,0.1
1669,100,0.2
1669,110,0.2
1669,120,0.3
1669,140,0.3
1669,150,0.2
1669,210,0.2
1669,220,0.1
1550,79,0
1550,80,0.1
1550,90,0.1
1550,100,0.2
1550,110,0.2
1550,130,0.6
1550,160,0.9
1550,170,0.9
1550,180,1
1550,190,1
1550,200,1.1
1550,220,1.1
1550,230,1.2
1550,260,1.2
1550,270,1.3
1553,79,0
1553,80,0.1
1553,90,0.1
1553,100,0.2
1553,110,0.2
1553,120,0.4
1553,160,0.8
1553,170,0.8
1553,180,0.9
1553,190,0.9
1553,200,1
1553,220,1
1553,230,1.1
1553,280,1.1
1553,290,1.2
1446,79,0
1446,80,0.1
1446,90,0.1
1446,100,0.2
1446,110,0.2
1446,120,0.4
1446,170,0.9
1446,180,0.9
1446,190,1
1446,210,1
1446,220,1.1
1446,240,1.1
1446,250,1.2
1446,310,1.2
1446,320,1.3
1184,79,0
1184,80,0.1
1184,90,0.1
1184,100,0.2
1184,110,0.2
1184,120,0.3
1184,140,0.3
1184,150,0.2
1184,210,0.2
1184,220,0.1
1515,79,0
1515,80,0.1
1515,90,0
1515,100,0.1
1515,110,0
1515,120,0.2
1515,140,0
1515,150,0.1
1515,160,0.1
1515,170,0
1515,180,0.1
1515,190,0
1515,200,0
1515,220,0.2
1515,230,0.1
1515,240,0.1
1515,250,0
1515,260,0
1515,270,0.1
1515,280,0
1515,290,0.1
1515,310,0.1
1515,320,0.2
1515,330,0.2
1515,340,0.1
1231,79,0
1231,80,0.1
1231,90,0
1231,100,0
1231,110,0.1
1231,120,0
1231,140,0
1231,150,0.1
1231,160,0
1231,210,0
1231,220,0.1
1231,230,0.1
1231,240,0
1231,280,0
1231,290,0.1
1720,79,0
1720,80,0.1
1720,90,0
1720,150,0
1720,160,0.1
1720,170,0.1
1720,180,0
1720,190,0.1
1720,200,0
1720,210,0.1
1720,220,0.1
1720,230,0
1720,240,0
1720,250,0.1
1720,270,0.1
1720,280,0
1518,79,0
1518,80,0.1
1518,90,0
1518,120,0
1518,130,0.1
1518,140,0
1518,180,0
1518,190,0.1
1518,210,0.1
1518,220,0
1518,240,0
1518,250,0.1
1518,310,0.1
1518,320,0
1518,330,0.1
1236,79,0
1236,80,0.1
1236,90,0
1236,120,0
1236,130,0.1
1236,140,0
1236,150,0.1
1236,160,0.1
1236,170,0
1236,180,0.1
1236,190,0
1236,200,0.1
1236,210,0.1
1236,220,0
1236,230,0.1
1236,250,0.1
1236,260,0
1236,310,0
1236,320,0.1
1236,330,0
1615,79,0
1615,80,0.1
1615,90,0
1615,110,0
1615,120,0.1
1615,130,0.1
1615,140,0
1615,180,0
1615,190,0.1
1615,210,0.1
1615,220,0
1615,240,0
1615,250,0.1
1615,310,0.1
1615,320,0
1615,330,0.1
1182,79,0
1182,80,0.1
1182,90,0
1182,110,0
1182,120,0.1
1182,130,0.4
1182,140,0.3
1182,150,0.5
1182,170,0.7
1182,180,0.7
1182,190,0.6
1182,210,0.8
1182,220,0.8
1182,230,0.9
1182,240,0.9
1182,250,0.8
1182,260,0.9
1182,280,0.9
1182,290,1
1182,320,1
1182,330,0.9
1182,340,1
2581,79,0
2581,80,0.50909
1731,79,0
1731,80,0.57815
1682,79,0
1682,80,0.6
1682,90,0.7
1682,150,0.7
1682,160,0.6
1682,180,0.6
1682,190,0.5
1682,240,0.5
1682,250,0.4
1686,79,0
1686,80,0.6
1686,130,0.6
1686,140,0.5
1686,160,0.5
1686,170,0.4
1686,210,0.4
1686,220,0.3
1654,79,0
1654,80,0.6
1654,110,0.9
1654,120,0.9
1654,130,1
1528,79,0
1528,80,0.572
2572,79,0
2572,80,0.6
2572,90,0.5
2572,100,0.5
2572,110,0.6
2572,120,0.6
2572,130,0.5
2572,140,0.5
2572,150,0.6
2572,170,0.4
2572,180,0.5
2572,220,0.5
2572,230,0.6
2572,250,0.4
2572,260,0.6
2572,270,0.5
2572,280,0.5
2572,290,0.6
2572,310,0.4
2572,320,0.5
2572,340,0.5
2572,350,0.4
1611,79,0
1611,80,0.6
1611,90,0.4
1611,100,0.5
1611,110,0.5
1611,120,0.6
1611,140,0.6
1611,150,0.5
1611,160,0.6
1611,170,0.6
1611,180,0.5
1611,190,0.6
1611,210,0.6
1611,220,0.5
1611,250,0.5
1611,260,0.6
1611,270,0.5
1611,280,0.7
