CURVE,X,Y
3,80,41.8
3,120,62.6
3,130,67.9
3,170,88.7
3,180,94
3,220,114.8
3,230,120.1
3,270,140.9
3,280,146.2
3,290,151.4
3,299,156.1
948,0,200
2101,0,275
1409,0,275
849,0,250
1958,0,349
622,0,300
22,0,1
30,0,1
30,5,1
30,6,0
2340,0,474.5
1634,0,449.5
1255,0,474.5
1154,0,449.5
1860,0,500
446,0,500
309,0,350
2587,0,650
2440,0,650
127,0,524.5
231,9,0
232,9,0
232,10,1
232,11,0
1178,79,0
1728,79,0
1728,80,0.00102
1733,79,0
1733,80,0.00153
1623,79,0
1623,80,0.00195
1620,79,0
1620,80,0.00214
1530,79,0
1530,80,0.002
1624,79,0
1624,80,0.00234
2579,79,0
2579,80,0.00909
1625,79,0
1625,80,0.00974
1618,79,0
1618,80,0.00955
1531,79,0
1531,80,0.0024
1527,79,0
1527,80,0.0022
2503,79,0
2503,80,0.0125
1532,79,0
1532,80,0.01
1525,79,0
1525,80,0.0098
1251,79,0
1251,80,0.0015
1730,79,0
1730,80,0.01643
1729,79,0
1729,80,0.02602
2581,79,0
2581,80,0.04546
2582,79,0
2582,80,0.07273
2504,79,0
2504,80,0.0625
2213,79,0
2213,80,0.08889
2155,79,0
2155,80,0.05
1621,79,0
1621,80,0.09743
1528,79,0
1528,80,0.036
1249,79,0
1249,80,0.09799
1248,79,0
1248,80,0.0161
1246,79,0
1246,80,0.001
2211,79,0
2211,80,0.11111
2580,79,0
2580,80,0.14546
2212,79,0
2212,80,0.17778
2154,79,0
2154,80,0.125
1619,79,0
1619,80,0.19486
1247,79,0
1247,80,0.19598
2584,79,0
2584,80,0.21818
1712,79,0
1712,80,0.3
1712,140,0.3
1712,150,0.2
1712,200,0.2
1712,210,0.1
1712,220,0.2
1712,270,0.2
1712,280,0.1
1731,79,0
1731,80,0.37532
1526,79,0
1526,80,0.3656
2506,79,0
2506,80,0.3
1613,79,0
1613,80,0.3
1613,90,0.2
1613,100,0.2
1613,110,0.1
1613,130,0.3
1613,180,0.3
1613,190,0.2
1613,200,0.3
1613,210,0.3
1613,220,0.1
1613,230,0.3
1613,270,0.3
1613,280,0.2
1613,290,0.3
1613,300,0.3
1613,310,0.2
1613,320,0.3
1613,330,0.2
1613,350,0.4
2490,79,0
2490,80,0.3
2490,90,0.2
2490,150,0.2
2490,160,0.1
2490,300,0.1
2490,310,0
2490,320,0.1
2490,330,0
2490,340,0.1
1610,79,0
1610,80,0.3
1610,90,0.2
1610,100,0.3
1610,120,0.3
1610,130,0.2
1610,140,0.3
1610,150,0.2
1610,160,0
1610,170,0.2
1610,180,0.2
1610,190,0
1610,210,0
1610,220,0.2
1610,240,0
1555,79,0
1555,80,0.3
1555,90,0.6
1555,100,0.7
1555,110,1.1
1555,130,2.5
1555,150,3.5
1555,170,4.1
1555,180,4.2
1555,190,4.6
1555,200,4.7
1555,210,5
1555,220,5.1
1555,230,5.1
1555,240,5.4
1555,250,5.6
1555,260,5.7
1555,270,5.6
1555,280,5.7
1555,290,5.7
1555,300,5.9
1555,310,5.9
1555,330,6.1
1555,340,6
1555,350,6.1
2149,79,0
2149,80,0.3
2149,100,0.3
2149,110,0.4
2149,120,0.3
2149,140,0.3
2149,150,0.4
2149,160,0.3
2149,200,0.3
2149,210,0.4
2149,220,0.2
2149,230,0.3
2149,270,0.3
2149,280,0.2
2149,290,0.3
2149,300,0.2
2149,310,0.4
2149,320,0.2
2149,330,0.2
2149,350,0.4
1476,79,0
1476,80,0.3
1476,100,0.3
1476,110,0.4
1476,130,0.2
1476,140,0.2
1476,150,0.1
1476,160,0.3
1476,170,0.2
1476,180,0.4
1476,200,0.2
1476,210,0.3
1476,220,0.3
1476,230,0.2
1476,270,0.2
1476,280,0.4
1476,290,0.3
1476,320,0.3
1476,330,0.2
1476,340,0.3
1237,79,0
1237,80,0.3
1237,90,0.3
1237,100,0.2
1237,110,0.3
1237,140,0.3
1237,150,0.4
1237,160,0.3
1237,220,0.3
1237,230,0.2
1237,240,0.3
1237,250,0.2
1237,260,0.3
1237,290,0.3
1237,300,0.2
1237,310,0.3
1237,340,0.3
1237,350,0.2
1571,79,0
1571,80,0.3
1571,140,0.3
1571,150,0.2
1571,250,0.2
1571,260,0.1
1469,79,0
1469,80,0.3
1469,140,0.3
1469,150,0.2
1469,260,0.2
1469,270,0.1
1229,79,0
1229,80,0.3
1229,110,0.3
1229,120,0.2
